host,run,list,variant,construct_ms,resident_mb,walk_ns_per_step
laptop-ryzen7235hs,3,sowpods,baseline,151.6,20.4,131
laptop-ryzen7235hs,3,sowpods,slices,6.8,4.1,171
laptop-ryzen7235hs,3,sowpods,arena,63.8,3.3,45
laptop-ryzen7235hs,3,sowpods,tiered,65.9,3.4,30
laptop-ryzen7235hs,3,enable2k,baseline,69.6,12.7,76
laptop-ryzen7235hs,3,enable2k,slices,4.1,2.6,131
laptop-ryzen7235hs,3,enable2k,arena,43.5,2.1,54
laptop-ryzen7235hs,3,enable2k,tiered,39.0,2.1,30
laptop-ryzen7235hs,3,german,baseline,419.5,48.2,234
laptop-ryzen7235hs,3,german,slices,16.4,9.0,331
laptop-ryzen7235hs,3,german,arena,151.7,8.2,87
laptop-ryzen7235hs,3,german,tiered,157.7,8.2,54
laptop-ryzen7235hs,3,spanish,baseline,440.6,50.6,224
laptop-ryzen7235hs,3,spanish,slices,17.2,9.7,319
laptop-ryzen7235hs,3,spanish,arena,197.3,8.5,81
laptop-ryzen7235hs,3,spanish,tiered,196.7,8.5,60
prod-epyc7551-2core,3,sowpods,baseline,413.5,20.4,1145
prod-epyc7551-2core,3,sowpods,slices,14.4,4.1,1223
prod-epyc7551-2core,3,sowpods,arena,279.2,3.3,987
prod-epyc7551-2core,3,sowpods,tiered,312.0,3.4,61
prod-epyc7551-2core,3,enable2k,baseline,212.5,12.7,140
prod-epyc7551-2core,3,enable2k,slices,8.9,2.6,293
prod-epyc7551-2core,3,enable2k,arena,179.9,2.1,83
prod-epyc7551-2core,3,enable2k,tiered,179.4,2.1,56
prod-epyc7551-2core,3,german,baseline,1144.7,48.2,321
prod-epyc7551-2core,3,german,slices,84.5,9.0,2189
prod-epyc7551-2core,3,german,arena,681.0,8.2,147
prod-epyc7551-2core,3,german,tiered,682.8,8.2,90
prod-epyc7551-2core,3,spanish,baseline,1297.7,50.6,314
prod-epyc7551-2core,3,spanish,slices,82.9,9.7,543
prod-epyc7551-2core,3,spanish,arena,892.8,8.5,142
prod-epyc7551-2core,3,spanish,tiered,893.1,8.5,92
