timestamp_unix_seconds,git_commit,host,edition,num_games,games_completed,samples,min_ms,q1_ms,median_ms,mean_ms,q3_ms,p95_ms,p99_ms,max_ms,first_move_median_ms,first_move_mean_ms,first_move_max_ms
1784742754,95b37e8-dirty,laptop-ryzen7235hs,official,50,50,2112,0.12,0.38,0.55,0.83,0.86,1.95,6.92,18.83,,,
1784742777,95b37e8-dirty,laptop-ryzen7235hs,official,20,20,846,0.13,0.39,0.52,0.79,0.84,1.87,5.63,19.78,,,
1785346713,10ec9bc-dirty,laptop-ryzen7235hs,official,30,30,1218,0.11,0.40,0.61,1.02,1.00,2.74,8.91,21.88,0.80,2.73,20.68
1785346725,10ec9bc-dirty,laptop-ryzen7235hs,german,20,20,831,0.11,0.45,0.64,0.96,0.98,2.15,8.08,42.48,0.76,2.11,11.37
1785347437,6d7a055,prod-epyc7551-2core,official,10,10,411,0.13,0.61,0.77,2.62,1.09,5.11,56.68,78.00,0.94,14.09,78.00
1785409032,34fba83-dirty,laptop-ryzen7235hs,official,30,30,1218,0.09,0.46,0.59,0.80,0.79,1.66,5.45,18.36,0.59,2.08,18.36
1785409519,242b7d2-dirty,stephen-len,official,30,30,1218,0.10,0.25,0.34,0.58,0.52,1.49,5.23,18.59,0.53,1.91,18.59
1785409605,242b7d2-dirty,stephen-len,official,30,30,1218,0.10,0.25,0.34,0.56,0.50,1.32,4.97,16.51,0.54,1.85,16.51
1785409606,242b7d2-dirty,stephen-len,official,30,30,1218,0.09,0.25,0.34,0.56,0.50,1.32,5.32,16.61,0.51,1.90,16.61
1785409607,242b7d2-dirty,stephen-len,official,30,30,1218,0.09,0.27,0.37,0.63,0.55,1.51,6.39,17.66,0.55,2.04,17.66
1785433486,636794a,prod-epyc7551-2core,official,10,10,411,0.08,0.40,0.50,2.13,0.75,3.05,60.57,80.61,0.54,8.55,80.61
