run,game,turn,seat,blanks,rack_tiles,wall_ms,cpu_ms
1788517029,0,0,0,1,7,16.4486,15.5116
1788517029,0,1,1,0,7,0.9174,0.8533
1788517029,0,2,0,0,7,1.0866,1.0226
1788517029,0,3,1,0,7,0.8961,0.8327
1788517029,0,4,0,0,7,0.3900,0.3619
1788517029,0,5,1,0,7,0.4962,0.4523
1788517029,0,6,0,0,7,0.4130,0.3793
1788517029,0,7,1,0,7,0.5273,0.4975
1788517029,0,8,0,0,7,1.0768,0.9322
1788517029,0,9,1,0,7,0.7763,0.7293
1788517029,0,10,0,0,7,0.3955,0.3695
1788517029,0,11,1,0,7,0.4672,0.4319
1788517029,0,12,0,1,7,2.3369,2.1660
1788517029,0,13,1,0,7,0.3571,0.3291
1788517029,0,14,0,0,7,0.3010,0.2784
1788517029,0,15,1,0,7,0.2739,0.2481
1788517029,0,16,0,0,7,0.3786,0.3489
1788517029,0,17,1,0,7,0.2295,0.2159
1788517029,0,18,0,0,7,0.3752,0.3499
1788517029,0,19,1,0,7,0.4587,0.4190
1788517029,0,20,0,0,7,0.2289,0.2127
1788517029,0,21,1,0,7,0.2438,0.2227
1788517029,0,22,0,0,7,0.2251,0.2077
1788517029,0,23,1,0,7,0.3150,0.2802
1788517029,0,24,0,0,7,0.2503,0.2378
1788517029,0,25,1,0,7,0.2558,0.1885
1788517029,0,26,0,0,7,0.1960,0.1799
1788517029,0,27,1,0,7,0.2896,0.2597
1788517029,0,28,0,0,7,0.2355,0.2178
1788517029,0,29,1,0,7,0.1958,0.1796
1788517029,0,30,0,0,7,0.1950,0.1764
1788517029,0,31,1,0,7,0.1878,0.1694
1788517029,0,32,0,0,7,0.1652,0.1496
1788517029,0,33,1,0,7,0.2025,0.1863
1788517029,0,34,0,0,7,0.1750,0.1601
1788517029,0,35,1,0,7,0.2674,0.2466
1788517029,0,36,0,0,7,0.2433,0.2241
1788517029,0,37,1,0,7,0.4645,0.4294
1788517029,0,38,0,0,7,0.4005,0.3750
1788517029,0,39,1,0,4,0.4998,0.4471
1788517029,0,40,0,0,3,0.3204,0.2973
1788517029,0,41,1,0,3,0.2233,0.1985
1788517029,0,42,0,0,2,0.1405,0.1273
1788517029,0,43,1,0,2,0.1797,0.1565
1788517029,0,44,0,0,1,0.1321,0.1205
1788517029,1,0,0,0,7,0.2579,0.2379
1788517029,1,1,1,0,7,1.4684,1.3655
1788517029,1,2,0,0,7,0.4681,0.4248
1788517029,1,3,1,0,7,0.9623,0.9050
1788517029,1,4,0,0,7,0.3446,0.3162
1788517029,1,5,1,0,7,0.5591,0.5220
1788517029,1,6,0,0,7,0.7444,0.6734
1788517029,1,7,1,0,7,0.3849,0.3596
1788517029,1,8,0,0,7,0.4396,0.4045
1788517029,1,9,1,0,7,0.2856,0.2633
1788517029,1,10,0,0,7,0.8164,0.7587
1788517029,1,11,1,0,7,0.3120,0.3038
1788517029,1,12,0,0,7,0.6084,0.5669
1788517029,1,13,1,0,7,0.4793,0.4449
1788517029,1,14,0,0,7,0.4982,0.4642
1788517029,1,15,1,0,7,0.4313,0.3978
1788517029,1,16,0,0,7,0.4216,0.3906
1788517029,1,17,1,1,7,3.8858,3.6293
1788517029,1,18,0,1,7,1.5394,1.4366
1788517029,1,19,1,0,7,0.4643,0.4291
1788517029,1,20,0,0,7,0.3045,0.2815
1788517029,1,21,1,0,7,0.3978,0.3694
1788517029,1,22,0,0,7,0.2658,0.2437
1788517029,1,23,1,0,7,0.2829,0.2617
1788517029,1,24,0,0,7,0.2379,0.2199
1788517029,1,25,1,0,7,0.2740,0.2541
1788517029,1,26,0,0,7,0.2471,0.2226
1788517029,1,27,1,0,7,0.1837,0.1697
1788517029,1,28,0,0,7,0.1680,0.1546
1788517029,1,29,1,0,7,0.2171,0.2007
1788517029,1,30,0,0,7,0.2272,0.2098
1788517029,1,31,1,0,7,0.2832,0.2624
1788517029,1,32,0,0,4,0.1710,0.1536
1788517029,1,33,1,0,3,0.1978,0.1933
1788517029,1,34,0,0,3,0.1329,0.1219
1788517029,1,35,1,0,2,0.1267,0.1159
1788517029,2,0,0,0,7,0.4736,0.4417
1788517029,2,1,1,0,7,1.6121,1.4998
1788517029,2,2,0,0,7,2.7783,2.6091
1788517029,2,3,1,0,7,0.9442,0.8844
1788517029,2,4,0,0,7,0.7750,0.7180
1788517029,2,5,1,0,7,0.7301,0.6792
1788517029,2,6,0,0,7,0.5032,0.4640
1788517029,2,7,1,0,7,0.3024,0.2794
1788517029,2,8,0,0,7,0.3312,0.2935
1788517029,2,9,1,0,7,0.3688,0.3492
1788517029,2,10,0,1,7,0.9970,0.9228
1788517029,2,11,1,1,7,0.8182,0.7623
1788517029,2,12,0,0,7,0.3899,0.3696
1788517029,2,13,1,0,7,0.3430,0.3153
1788517029,2,14,0,0,7,0.2853,0.2618
1788517029,2,15,1,0,7,0.2832,0.0495
1788517029,2,16,0,0,7,0.2303,0.4565
1788517029,2,17,1,0,7,0.1804,0.1631
1788517029,2,18,0,0,7,0.2021,0.1858
1788517029,2,19,1,0,7,0.5025,0.4610
1788517029,2,20,0,0,7,0.1983,0.1835
1788517029,2,21,1,0,7,0.2229,0.2047
1788517029,2,22,0,0,7,0.2140,0.1929
1788517029,2,23,1,0,7,0.1901,0.1692
1788517029,2,24,0,0,7,0.2010,0.1804
1788517029,2,25,1,0,7,0.1451,0.1320
1788517029,2,26,0,0,7,0.1655,0.1535
1788517029,2,27,1,0,7,0.1700,0.1592
1788517029,2,28,0,0,7,0.1915,0.1659
1788517029,2,29,1,0,7,0.1718,0.1558
1788517029,2,30,0,0,7,0.1723,0.1565
1788517029,3,0,0,0,7,0.3613,0.3329
1788517029,3,1,1,0,7,1.0223,0.9606
1788517029,3,2,0,0,7,1.1280,1.0403
1788517029,3,3,1,0,7,0.9059,0.8408
1788517029,3,4,0,0,7,0.8514,0.8119
1788517029,3,5,1,0,7,0.7539,0.6922
1788517029,3,6,0,0,7,0.8999,0.8349
1788517029,3,7,1,0,7,0.9283,0.8740
1788517029,3,8,0,0,7,0.7343,0.6882
1788517029,3,9,1,0,7,0.3770,0.3502
1788517029,3,10,0,0,7,0.3475,0.3182
1788517029,3,11,1,0,7,0.3813,0.3483
1788517029,3,12,0,0,7,0.3514,0.3242
1788517029,3,13,1,0,7,0.2540,0.2250
1788517029,3,14,0,0,7,0.2831,0.2618
1788517029,3,15,1,1,7,1.0166,0.9485
1788517029,3,16,0,0,7,0.2976,0.2708
1788517029,3,17,1,0,7,0.2400,0.2211
1788517029,3,18,0,1,7,2.0589,1.9267
1788517029,3,19,1,0,7,0.3409,0.3118
1788517029,3,20,0,0,7,0.3371,0.3062
1788517029,3,21,1,0,7,0.3293,0.3012
1788517029,3,22,0,0,7,0.3155,0.2872
1788517029,3,23,1,0,7,0.2672,0.2462
1788517029,3,24,0,0,7,0.1998,0.1819
1788517029,3,25,1,0,7,0.2051,0.1853
1788517029,3,26,0,0,7,0.1757,0.1591
1788517029,3,27,1,0,7,0.1375,0.1252
1788517029,3,28,0,0,7,0.1761,0.1610
1788517029,3,29,1,0,7,0.1288,0.1171
1788517029,3,30,0,0,7,0.1685,0.1540
1788517029,3,31,1,0,7,0.1265,0.1144
1788517029,3,32,0,0,7,0.1839,0.1577
1788517029,3,33,1,0,7,0.1557,0.1465
1788517029,3,34,0,0,7,0.1717,0.1552
1788517029,4,0,0,0,7,0.2621,0.2423
1788517029,4,1,1,0,7,0.3188,0.2947
1788517029,4,2,0,1,7,1.0193,0.9494
1788517029,4,3,1,0,7,0.9966,0.9216
1788517029,4,4,0,1,7,2.0915,1.9551
1788517029,4,5,1,0,7,0.6041,0.5566
1788517029,4,6,0,0,7,0.3309,0.2989
1788517029,4,7,1,0,7,1.1112,1.0331
1788517029,4,8,0,1,7,2.9439,0.5784
1788517029,4,9,1,0,7,0.4789,2.7382
1788517029,4,10,0,0,7,0.4021,0.3829
1788517029,4,11,1,0,7,0.2946,0.2668
1788517029,4,12,0,0,7,0.2621,0.2419
1788517029,4,13,1,0,7,0.3600,0.3286
1788517029,4,14,0,0,7,0.2156,0.1986
1788517029,4,15,1,0,7,0.3504,0.3205
1788517029,4,16,0,0,7,0.3098,0.2876
1788517029,4,17,1,0,7,0.3764,0.3368
1788517029,4,18,0,0,7,0.2220,0.2035
1788517029,4,19,1,0,7,0.2106,0.1933
1788517029,4,20,0,0,7,0.1481,0.1332
1788517029,4,21,1,0,7,0.1495,0.1368
1788517029,4,22,0,0,7,0.1559,0.1414
1788517029,4,23,1,0,7,0.3502,0.2731
1788517029,4,24,0,0,7,0.1780,0.1624
1788517029,4,25,1,0,7,0.1700,0.1517
1788517029,5,0,0,0,7,0.3032,0.2697
1788517029,5,1,1,0,7,0.5623,0.5144
