game,turn,seat,blanks,rack_tiles,ref_wall_1788520311,ref_cpu_1788520311,ref_wall_1788520312,ref_cpu_1788520312,ref_wall_1788520313,ref_cpu_1788520313,ref_wall_1788520313,ref_cpu_1788520313,ref_wall_1788520314,ref_cpu_1788520314,sub_wall_1788519445,sub_cpu_1788519445,sub_wall_1788519448,sub_cpu_1788519448,sub_wall_1788519452,sub_cpu_1788519452,sub_wall_1788519455,sub_cpu_1788519455,sub_wall_1788519458,sub_cpu_1788519458,ref_runs,ref_min_wall_ms,ref_stalls_dropped,ref_mean_wall_ms,ref_mean_cpu_ms,sub_runs,sub_min_wall_ms,sub_stalls_dropped,sub_mean_wall_ms,sub_mean_cpu_ms,ratio_mean_wall
0,0,0,1,7,17.5360,16.5653,17.5967,16.2508,16.5009,15.2436,16.3595,15.1122,16.8278,15.6278,29.0287,29.0327,72.6174,72.6380,31.4555,31.5040,30.1363,30.1583,29.2444,29.2965,5,16.3595,0,16.9642,15.7599,5,29.0287,0,38.4965,38.5259,2.2693
0,1,1,0,7,1.3534,1.2672,0.9540,0.8787,1.2884,1.1800,0.8294,0.7613,0.8260,0.7542,1.5351,1.5341,1.6566,1.6500,1.8305,1.8190,1.5813,1.5783,1.5893,0.7042,5,0.8260,0,1.0502,0.9683,5,1.5351,0,1.6386,1.4571,1.5602
0,10,0,0,7,0.2481,0.2268,0.2745,0.2503,0.5074,0.4630,0.2614,0.2338,0.2376,0.2117,0.5254,0.5271,0.4334,0.4314,0.5123,0.5135,0.4507,0.4475,0.4553,0.4538,5,0.2376,0,0.3058,0.2771,5,0.4334,0,0.4754,0.4747,1.5547
0,11,1,0,7,0.3884,0.3602,0.4209,0.3834,0.4397,0.4013,0.4045,0.3642,0.3759,0.3429,0.8476,0.8216,0.7405,0.7395,0.8090,0.7881,0.8038,0.8021,0.7422,0.7415,5,0.3759,0,0.4059,0.3704,5,0.7405,0,0.7886,0.7786,1.9430
0,12,0,1,7,2.3234,2.1635,2.3094,2.1174,2.3622,2.1634,2.2631,2.0723,2.2879,2.0842,5.3189,5.3156,4.9843,4.9840,5.2217,5.2124,4.8938,4.8801,4.8353,4.8324,5,2.2631,0,2.3092,2.1202,5,4.8353,0,5.0508,5.0449,2.1873
0,13,1,0,7,0.3974,0.3653,0.3933,0.3537,0.4064,0.3661,0.3501,0.3150,0.4190,0.3820,0.6862,0.6867,0.7081,0.7085,0.7107,0.7031,0.7468,0.7465,0.7212,0.7116,5,0.3501,0,0.3932,0.3564,5,0.6862,0,0.7146,0.7113,1.8172
0,14,0,0,7,0.3641,0.3401,0.3548,0.3178,0.3651,0.3291,0.3184,0.2849,0.3448,0.3131,0.6168,0.6171,0.5998,0.6004,48.8157,48.7629,0.5992,0.5960,0.5754,0.5743,5,0.3184,0,0.3494,0.3170,5,0.5754,1,0.5978,0.5969,1.7107
0,15,1,0,7,0.2804,0.2575,0.2812,0.2538,0.2823,0.2546,0.2719,0.2451,0.2478,0.2310,0.4716,0.4718,0.5105,0.5071,0.6016,0.6033,0.4788,0.4765,0.4358,0.4356,5,0.2478,0,0.2727,0.2484,5,0.4358,0,0.4997,0.4989,1.8321
0,16,0,0,7,0.3357,0.3146,0.3573,0.3234,0.3623,0.3245,0.3487,0.3155,0.3158,0.2871,0.6421,0.6381,0.6448,0.6460,0.7348,0.7315,0.6295,0.6251,0.6292,0.6274,5,0.3158,0,0.3440,0.3130,5,0.6292,0,0.6561,0.6536,1.9074
0,17,1,0,7,0.2476,0.2169,0.2397,0.2136,0.2743,0.2472,0.2304,0.2064,0.1986,0.1768,0.3799,0.3800,0.3352,0.3351,0.4028,0.3993,0.3970,0.3944,0.3306,0.3297,5,0.1986,0,0.2381,0.2122,5,0.3306,0,0.3691,0.3677,1.5501
0,18,0,0,7,0.4188,0.3922,0.3995,0.3627,0.4286,0.3874,0.3832,0.3522,0.3884,0.3527,0.7661,0.7659,0.7508,0.7513,0.8745,0.8695,0.9345,0.9337,0.7828,0.7842,5,0.3832,0,0.4037,0.3694,5,0.7508,0,0.8217,0.8209,2.0355
0,19,1,0,7,0.3200,0.2966,0.2812,0.2545,0.3187,0.2879,0.2793,0.2531,0.2769,0.2502,0.6123,0.6131,0.5293,0.5283,0.6451,0.6418,0.6280,0.5644,0.5264,0.5211,5,0.2769,0,0.2952,0.2685,5,0.5264,0,0.5882,0.5737,1.9925
0,2,0,0,7,1.1013,1.0284,1.2657,1.1551,1.7677,1.6177,1.0673,0.9821,1.0902,1.0015,2.1668,2.1597,2.4273,2.4201,2.4464,2.4358,2.2982,2.2950,51.4274,52.3901,5,1.0673,0,1.2584,1.1570,5,2.1668,1,2.3347,2.3277,1.8552
0,20,0,0,7,0.3820,0.2889,0.2259,0.2038,0.2379,0.2185,0.2223,0.2001,0.2264,0.2041,0.4177,0.4183,0.4370,0.4363,0.5151,0.4470,0.4707,0.4672,0.4448,0.4452,5,0.2223,0,0.2589,0.2231,5,0.4177,0,0.4571,0.4428,1.7654
0,21,1,0,7,0.6700,0.6383,0.3176,0.2864,0.2392,0.2159,0.2724,0.2534,0.3063,0.2968,0.5352,0.5360,52.6612,0.4923,0.4685,0.4646,0.4749,0.4699,0.4399,0.4390,5,0.2392,0,0.3611,0.3382,5,0.4399,1,0.4796,0.4774,1.3282
0,22,0,0,7,0.2847,0.2574,0.3130,0.2686,0.2276,0.2054,0.2573,0.2306,0.2290,0.2049,0.4264,0.4263,0.4609,0.4591,0.5388,0.5298,0.4852,0.4798,0.4392,0.4375,5,0.2276,0,0.2623,0.2334,5,0.4264,0,0.4701,0.4665,1.7921
0,23,1,0,7,0.3397,0.3108,0.3027,0.2690,0.4849,0.4125,0.2849,0.2581,0.2876,0.2604,0.6379,0.6384,0.6810,0.6775,0.6880,0.6853,0.5705,0.5666,0.5389,0.5380,5,0.2849,0,0.3400,0.3022,5,0.5389,0,0.6233,0.6212,1.8333
0,24,0,0,7,0.2180,0.1995,0.2348,0.1955,0.2206,0.1991,0.1980,0.1780,0.2012,0.1809,0.3648,0.3650,0.3723,0.3682,0.4511,0.4412,0.4056,0.4024,0.3590,0.3579,5,0.1980,0,0.2145,0.1906,5,0.3590,0,0.3906,0.3869,1.8206
0,25,1,0,7,0.2053,0.1881,0.2210,0.1969,0.2107,0.1897,0.2096,0.1821,0.2013,0.1807,0.4462,0.4466,0.4605,0.4532,0.4711,0.4702,0.3810,0.3759,0.3791,0.3789,5,0.2013,0,0.2096,0.1875,5,0.3791,0,0.4276,0.4250,2.0402
